   Nr Navn                      Klubb                  Elo #par Fide Hurt Lyn
   1: Abrahamsson Roaul         1911                  1973  301
   2: Abusdal Gunnar            Nordstrand             914   83
   3: Abusdal Ivar              Nordstrand            1730  299
   4: Adamsen Tore W.           Fredriksstad           897   35
   5: Agdestein Einar Døving    Asker                  742   48
   6: Agdestein Emil Døving     NTG                   1902  232
   7: Agdestein Espen           NTG                   2418  703
   8: Agdestein Pål             Asker                 1800   37
   9: Agdestein Simen           NTG                   2598 1079
  10: Agustsson Hafsteinn       Nordnes               1629  152
  11: Akre-Aas Halfdan          Røros                 1538  181
  12: Alainezhad Asad           Mo                    1225   54
  13: Ali Karim                 Fribonden             1718   36
  14: Ali Sohaib Syed           (Tidl. OSS)           1221   43
  15: Alikhani Afshin           Sotra                 1395  120
  16: Aliti Qatip               Rilindja              1572   45
  17: Alm Tore                  Lillestrøm            1389  246
  18: Alne Sture Magne          Drammen               1668  246
  19: Alsaker Knut Arne         Nordstrand            1814   15
  20: Amundsen Carl H.          Elverum               1500  303
  21: Amundsen Odd              Larvik                1182  291
  22: Amundsen Rune             Hauge                 1062   83
  23: Anderl Christoph          Stjernen              1547   57
  24: Andersen Alf Roger        Akademisk             2146  386
  25: Andersen Bjørn            Sarpsborg             1569  486
  26: Andersen Dag              Indre Østfold         1608  583
  27: Andersen Espen            Moss                  1443  290
  28: Andersen Geir             Alta                  1170   26
  29: Andersen Glenn            (Tidl. Nordnes)       1212   42
  30: Andersen Harald           Kristiansand          1023   65
  31: Andersen Harry            Fredriksstad          1766 1261
  32: Andersen Jonatan M        Moss                   933   94
  33: Andersen Lars Even        Black Knights         2134  464
  34: Andersen Leif Sverre      Stjernen              1440  508
  35: Andersen Odd              Follo                 1609  880
  36: Andersen Oscar E          Caissa                1397  334
  37: Andersen Per O            SOSS                  1998  368
  38: Andersen Reidar           Sotra                 1220  124
  39: Andersen Richard          Moss                  1051   19
  40: Andersen Rolf             Harstad               1281  272
  41: Andersen Rune T.          SOSS                  1639  238
  42: Andersen Viggo            Stjernen              1537  608
  43: Andersen Øystein R.       Black Knights         1857  468
  44: Andreasen Hans B.         Horg                  1009   49
  45: Andreassen Lars           Samisk                2012  303
  46: Andreassen Leif           Alta                  1237  291
  47: Andreassen Pål            SOSS                  1930  420
  48: Andreassen Tor Herman     Tønsberg              1632   57
  49: Andresen Ragnar           Fredriksstad          1308  351
  50: Angeltveit Andreas        Porsgrunn             1173  182
  51: Antonsen Øyvind           Aalesund              1841  361
  52: Archer Cedric             Tønsberg              1138   53
  53: Areklett Ivar             Hauge                 1947  589
  54: Arentz Roald              Trondheim             1635  617
  55: Arild Steinar             Alta                  1216  214
  56: Arnason Arne              Tønsberg               868   74
  57: Arnesen Henrik G          1911                  1438  162
  58: Arntsen Raymond           Mosjøen               1103   84
  59: Arntzen Odd Steinar       Brønnøysund           1222   18
  60: Asklund Erlend            Frosta                 644   39
  61: Astrup Håkon              OSS                   1589  203
  62: Astrup Kim Chr.           (Tidl. Halden)        1978  142
  63: Aubert Carsten            Tønsberg              1883  165
  64: Aune Finn Roar            Strømmen              1698  264
  65: Aure Alf Terje            Molde                  819  301
  66: Aurlund Kjell             OSS                   1986   77
  67: Aursand Espen             Namsos                1217  130
  68: Austad Espen              Stjernen              1156   13
  69: Badivuku Xhevdet          Rilindja              1610   64
  70: Bae Torstein              1911                  2327  914
