   Nr Navn                      Klubb                  Elo #par Fide Hurt Lyn
   1: Abildgaard Harald         Kristiansand          1129   41
   2: Abrahamsen Knut Ø         Nordstrand            1575  261
   3: Abusdal Ivar              (Tidl. Nordstrand)    1727  374
   4: Adam Gyula                Drammens              1529  129
   5: Adamsen Tore W.           Fredriksstad          1043  180
   6: Adatepe Nadi              Ullr                  1172   15
   7: Agdestein Emil Døving     Trondheimstud         2097  556 2132
   8: Agdestein Espen           OSS                   2354  752 2374
   9: Agdestein Fredrik         Steinkjer             1408   84
  10: Agdestein Peter           (Tidl. NTG)            778   61
  11: Agdestein Pål             Asker                 1853  142 2002
  12: Agdestein Simen           NTG                   2535 1240 2558
  13: Agdestein Sjur            Steinkjer             1700   79
  14: Agdestein Syver D         Asker                  667   60
  15: Agdestein Victoria        Steinkjer              838   27
  16: Agustsson Hafsteinn       (Tidl. Bergens)       1759  308
  17: Akali Mark                (Tidl. Nordstrand)    1496   56
  18: Akbas Kursat Kan          Drammens               984   15
  19: Aksnes Aleksander Eikenes (Tidl. Trondheimstud) 1542  184
  20: Albrigtsen Svein J        Longyearbyen          1349   12
  21: Al-Gefarye Diaa           Fredriksstad          1578   26
  22: Ali Karim                 Fribonden             1627  255 1796
  23: Alikhani Afshin           Sotra                 1530  203
  24: Alne Sture Magne          (Tidl. Trondheimstud) 1605  385
  25: Alshamari Ayad            Narvik                1601   74
  26: Amarapala Anton           (Tidl. Lørenskog)      865  129
  27: Amarapala Sherington      Lørenskog             1296  380 1709
  28: Amundsen Arild            (Tidl. Larvik)        1156   24
  29: Anderl Christoph          Stjernen              1698  115 1926
  30: Andersen Alf Roger        Akademisk             2209  588 2226
  31: Andersen Arild            Larvik                 939   47
  32: Andersen Benjamin Mjelde  Moss                  1235  198
  33: Andersen Bjørn            Sarpsborg             1552  601
  34: Andersen Dag              Sarpsborg             1702 1122 1896
  35: Andersen Erik Verner      Larvik                1520   13
  36: Andersen Espen            Moss                  1448  305
  37: Andersen Glenn            (Tidl. Bergens)       1212   35
  38: Andersen Guttorm          Stjernen              1585  445 1760
  39: Andersen Harry            Fredriksstad          1738 1749 1882
  40: Andersen Jonatan M        Bergens               1625  405
  41: Andersen Lars Even        Black Knights         2254  732 2286
  42: Andersen Markus S         (Tidl. Hell)           755   25
  43: Andersen Martin           Narvik                 653   29
  44: Andersen Odd              Moss                  1689  950
  45: Andersen Per O            SOSS                  1977  390 2122
  46: Andersen Pål              (Tidl. Bergens)       1190   57
  47: Andersen Richard          Moss                  1077  127
  48: Andersen Rune T.          SOSS                  1682  258
  49: Andersen Tommy Rimås      (Tidl. Porsgrunn)     1294   12
  50: Andersen Viggo            Stjernen              1509  684
  51: Andersen Øystein R.       Black Knights         1875  528 1980
  52: Anderson Ludvig           OSS                    964   67
  53: Andersson Øivind          Drammens              1144  160
  54: Andreasen Hans B.         Byneset               1281  235
  55: Andreassen Arnold         Tromsø                2053   46 2069
  56: Andreassen Børre          Namsos                1403   33
  57: Andreassen Christoffer    (Tidl. Sandnes)        887   26
  58: Andreassen Emil           (Tidl. Fredriksstad)   830   67
  59: Andreassen Espen          Sevland                729   59
  60: Andreassen Joachim        (Tidl. Sandnes)        850   18
  61: Andreassen Jonas          Sevland                628   58
  62: Andreassen Lars M         Harstad               2127  424 2226
  63: Andreassen Leif E         Tromsø                1145  393
  64: Andreassen Oskar M        Stavanger              742   47
  65: Andreassen Pål            SOSS                  1991  500 2105
  66: Andreassen Tor Herman     Tønsberg              1606  107
  67: Andås Kjetil              Masfjorden            1256   97
  68: Angeltveit Andreas R      (Tidl. Porsgrunn)     1151  308
  69: Anthony-Pillai Seelan     Tønsberg               953   39
  70: Antonsen Andreas          (Tidl. Steinkjer)      981   16
