   Nr Navn                      Klubb                  Elo #par Fide Hurt Lyn
 126: Bauer Dag Vidar           Trondheimstud          871   11
 127: Baustad Knut M            Stavanger              674   24
 128: Baustad Lars A            Stavanger              760   23
 129: Becirbegovic Mirsad       Kristiansand          1607   86
 130: Beck Anders Knudsen       Tønsberg              1430  273
 131: Begby Olav                Fredriksstad          1020   44
 132: Bekkelien Glenn Lewi      Black Knights         1627  359
 133: Bekkelund Gunnar M        Gambit                1031   44
 134: Bekkesletten Cato         1911                  1592  207
 135: Bekkesletten Erlend       1911                   606   20
 136: Belstad Bjørn E           Fredriksstad          1424   95
 137: Benjaminsen Bjørn         Masfjorden            1188   98
 138: Benn Neil                 Asker                 1526  213
 139: Bentsen Håkon             Porsgrunn             2094  839 2160
 140: Bentsen Øyvind            1911                  2127  658 2147
 141: Berezkin Alexander        Trondheim             1401  271
 142: Berg Tom                  Harstad               1209  250
 143: Berge Fredrik Lange       1911                  1223   79
 144: Berge Sander Lange        1911                  1072   54
 145: Bergersen Kjetil J        Gjøvik                1907  363
 146: Bergersen Per A           Bærum                 1490   60
 147: Bergfjord Idar            (Tidl. SMPOAÅ)        1167   15
 148: Berg-Jensen Joachim       Porsgrunn             2082  515 2202
 149: Berg-Jensen Per M         OSS                   1612   62
 150: Berglund Jan S.           Tromsø                2007 1101 2168
 151: Bergquist Rune            Tønsberg              1283  463
 152: Bergvoll Mats             (Tidl. Tromsø)        1901  316
 153: Bern Ivar                 Bergens               2267 1300 2329
 154: Berntsen Eivind Sæteren   Nordstrand            1123  108
 155: Berntsen Ola Sæteren      (Tidl. Nordstrand)     954   50
 156: Berntsen-Øybø Bendik      1911                  1438  136
 157: Berstad Jørund            Førde                 1671  347 1877
 158: Bie Hans Petter           Nordstrand            1440  540
 159: Birkeland John Olav       Egersund              1410  127
 160: Birkeland Matias          (Tidl. Bergens)        913   16
 161: Birkeland Ole             Kristiansand           779  739
 162: Birkeland Trond           Bergens               1801   25 1920
 163: Birkestrand Odd           Masfjorden            1841  530 1904
 164: Birkestrand Odd H         Masfjorden            1451  384
 165: Bjeglerud Jarle           Kongsberg             1760  133
 166: Bjelland Nils Inge        OSS                   1311   91
 167: Bjerke Richart            OSS                   2164 1005 2209
 168: Bjerke Silje              1911                  2193 1010 2218
 169: Bjerklund Steinar         (Tidl. Alta)           500   17
 170: Bjerring Dennis A. J.     Alta                  1173  100
 171: Bjordal Arne N            (Tidl. Sandnes)        977  317
 172: Bjornes Leif              Kristiansand          1796  258 1956
 173: Bjørgum-Argento Tor Haako Svartlamon            1159   31
 174: Bjørgvik Jan Arne         Verdal                1700 1550 1925
 175: Bjørgvik Josef            Verdal                1094  124
 176: Bjørkhaug Kenneth         (Tidl. Kristiansand)  1080   13
 177: Bjørn Lasse E             Tromsø                1009   53
 178: Bjørnerem Anders          Horg                   684   33
 179: Bjørnland Svein           Fredriksstad          1851  819
 180: Bjørnstad Leif            Kirkenes              1487  881
 181: Bjørnstrøm Frank          Komsa                  910   17
 182: Bjørnstrøm Øystein        (Tidl. Bodø)          1463   47
 183: Bjørnø Ole Kr.            Modum                 1924  702
 184: Bjørseth Rune             Stjørdal              1625   87
 185: Blauhut Holger            Sarpsborg             2125   36
 186: Blekken Kjell Ove         (Tidl. Verdal)        1728  298
 187: Blikra Per                Stavanger             1601  343 1932
