   Nr Navn                      Klubb                  Elo #par Fide Hurt Lyn
   1: Abrahamsson Roaul         1911                  1951  305
   2: Abusdal Gunnar            Nordstrand            1047   96
   3: Abusdal Ivar              Nordstrand            1686  322
   4: Adam Lukas                Ørsta                 1370   14
   5: Adamsen Tore W.           Fredriksstad           904   46
   6: Agdestein Einar Døving    Asker                  742   48
   7: Agdestein Emil Døving     NTG                   1950  276
   8: Agdestein Espen           NTG                   2430  713
   9: Agdestein Pål             Asker                 1800   37
  10: Agdestein Simen           NTG                   2614 1096
  11: Agustsson Hafsteinn       Nordnes               1641  167
  12: Akre-Aas Halfdan          Røros                 1522  186
  13: Alainezhad Asad           Mo                    1234   59
  14: Aleksandersen Richard     Stavanger             1028   18
  15: Ali Karim                 Fribonden             1718   36
  16: Ali Sohaib Syed           (Tidl. OSS)           1221   43
  17: Alikhani Afshin           Sotra                 1418  126
  18: Aliti Qatip               (Tidl. Rilindja)      1602   49
  19: Alm Tore                  Lillestrøm            1389  246
  20: Alne Sture Magne          Drammen               1644  269
  21: Alnes Jan H.              Sjakkameratene        1730  101
  22: Alsaker Knut Arne         Nordstrand            1814   15
  23: Alsos Ulv G.              Tromsø                 720   28
  24: Amundsen Carl H.          Elverum               1483  311
  25: Amundsen Odd              Larvik                1174  298
  26: Amundsen Rune             Hauge                 1062   83
  27: Anderl Christoph          Stjernen              1562   67
  28: Andersen Alf Roger        Akademisk             2150  402
  29: Andersen Bjørn            Sarpsborg             1625  499
  30: Andersen Dag              Indre Østfold         1726  638
  31: Andersen Espen            Moss                  1445  293
  32: Andersen Geir             Alta                  1171   34
  33: Andersen Glenn            (Tidl. Nordnes)       1212   42
  34: Andersen Guttorm          Stjernen              1392   24
  35: Andersen Harald           Kristiansand          1018   70
  36: Andersen Harry            Fredriksstad          1714 1293
  37: Andersen Jonatan M        Moss                  1080  109
  38: Andersen Lars Even        (Tidl. Black Knights) 2134  471
  39: Andersen Leif Sverre      Stjernen              1440  508
  40: Andersen Odd              Follo                 1609  880
  41: Andersen Per O            SOSS                  2009  370
  42: Andersen Reidar           Sotra                 1220  124
  43: Andersen Richard          Moss                   941   28
  44: Andersen Rolf             (Tidl. Harstad)       1281  272
  45: Andersen Rune T.          SOSS                  1699  248
  46: Andersen Viggo            Stjernen              1531  609
  47: Andersen Øystein R.       (Tidl. Black Knights) 1866  474
  48: Andreasen Hans B.         (Tidl. Horg)          1017   54
  49: Andreassen Lars           Samisk                2045  309
  50: Andreassen Leif           Øksfjord              1204  311
  51: Andreassen Pål            SOSS                  1930  429
  52: Andreassen Tor Herman     Tønsberg              1642   62
  53: Andresen Ragnar           Fredriksstad          1308  351
  54: Angeltveit Andreas        Porsgrunn             1164  183
  55: Antoniussen Viktor        (Tidl. Nordnes)        644   16
  56: Antonsen Helge            (Tidl. Moss)          1248   17
  57: Antonsen Øyvind           Aalesund              1808  384
  58: Archer Cedric             Tønsberg              1111   67
  59: Areklett Ivar             Hauge                 1907  623
  60: Arentz Roald              Trondheim             1637  625
  61: Arild Steinar             Alta                  1186  224
  62: Arnason Arne              (Tidl. Tønsberg)       868   74
  63: Arnesen Henrik G          1911                  1438  162
  64: Arntsen Raymond           Mosjøen               1128   90
  65: Arntzen Odd Steinar       Brønnøysund           1301   23
  66: Arnø Steinar              Mosjøen               1552  293
  67: Asghar Akil               Follo                  734   12
  68: Asghar Faisal             Follo                  944   12
  69: Asklund Erlend            Frosta                 706   60
  70: Astrup Håkon              OSS                   1598  205
  71: Astrup Kim Chr.           (Tidl. Halden)        1978  142
  72: Aubert Carsten            Tønsberg              1895  186
  73: Aune Finn Roar            Strømmen              1695  267
  74: Aure Alf Terje            Molde                  807  309
  75: Aurlund Kjell             OSS                   1986   77
  76: Aursand Espen             Namsos                1217  130
  77: Austad Espen              (Tidl. Stjernen)      1156   13
  78: Baadshaug Knut            (Tidl. Orkdal)        1697   58
  79: Badivuku Xhevdet          (Tidl. Rilindja)      1655   71
  80: Bae Torstein              1911                  2287  943
  81: Bakke Jan Gunnar          Alta                  1173   77
  82: Bakken Svein Arne         (Tidl. Hamar)         1378   27
  83: Bakken Svein-Erik         Follo                 1356  190
  84: Bakken Øyvind             Porsgrunn             1628  351
  85: Barjaktarenic Micro       (Tidl. Kristiansand)  1740   16
  86: Barouta Dani              (Tidl. Kristiansand)  1531   15
  87: Barstad Thoralf N         Nordstrand            1600  354
  88: Barton Zdenek             Lillestrøm            1631  246
  89: Barø Terje                Tønsberg              1277  233
  90: Bay Anders Preben         Asker                  891   76
  91: Becirbeqvic Mirsad        Kristiansand          1479   26
  92: Beck Anders Knudsen       Tønsberg              1476  119
  93: Begovic Mehmed            Aalesund              1735   62
  94: Bekkeli Leif              Drammen               2034  404
  95: Bekkelien Glenn Lewi      Follo                 1683  207
  96: Bekkesletten Cato         Strømmen              1592  174
  97: Belsby Jan Gunnar         Sarpsborg             1403  203
  98: Belstad Bjørn E           Fredriksstad          1385   22
  99: Benn Neil                 Asker                 1518   97
 100: Bentsen Håkon             Molde                 1963  603
 101: Bentsen Jostein           Hauge                  683   12
 102: Bentsen Øyvind            Molde                 1940  476
 103: Berg Gaute                (Tidl. Orkdal)        1081   40
 104: Berg Tom                  (Tidl. Harstad)       1233  202
 105: Berg-Jensen Joachim       Porsgrunn             1992  424
 106: Berg-Jensen Per M         OSS                   1629   26
 107: Berg-Jensen Terje H.      (Tidl. Porsgrunn)     1194  104
 108: Bergan Odd                (Tidl. Larvik)        1555  396
 109: Berge Christian           Tromsø                1037   47
 110: Bergersen Bjørn           Gjøvik                1444  462
 111: Bergersen Kjetil J        Gjøvik                1885  311
 112: Berglund Jan S.           Tromsø                1979 1025
 113: Bergquist Rune            Tønsberg              1250  355
 114: Bergvoll Mats             Tromsø                1615  125
 115: Bern Ivar                 Bergens               2269 1257
 116: Bernhardsen Morten        Porsgrunn             1453   13
 117: Berntsen Einar            Strømmen              1289  730
 118: Berntsen Knut Arild       Modum                 1003   32
 119: Berntsen Matias           Akademisk             1174   37
 120: Berntsen Sheila B.        Asker                 2004  821
 121: Berntzen Stein            Tromsø                1519   59
 122: Berstad Jørund            Førde                 1624  223
 123: Bie Bjørn                 Ottestad              1354  570
 124: Bie Hans Petter           Nordstrand            1535  473
 125: Bilet Morten              Follo                 1537   19
