   Nr Navn                      Klubb                  Elo #par Fide Hurt Lyn
 134: Berg John A               Namsos                1595  186
 135: Berg Kurt Magnus          Harstad               1780  175
 136: Berg Roy                  Sarpsborg              746   14
 137: Berg Svein                OSS                   2077  536
 138: Berg Tom                  Harstad               1176   74
 139: Berg-Jensen Harald        OSS                    843   51
 140: Berg-Jensen Joachim       Porsgrunn             1285   59
 141: Berg-Jensen Mats J.       Porsgrunn              539   22
 142: Berg-Jensen Terje H.      Porsgrunn             1096   30
 143: Bergan Odd                Larvik                1657  287
 144: Berger Jan                Tønsberg              1309  227
 145: Bergersen Bjørn           Gjøvik                1484  369
 146: Bergersen Kjetil J        Gjøvik                1885  290
 147: Berget Vidar              Akademisk             1307  146
 148: Berglund Jan S.           Tromsø                1969  870
 149: Bergquist Rune            Bodø                  1215  167
 150: Bergsrud Arve             Hadeland              1054  148
 151: Bergstad Odd Øivind       Akademisk             2101  405
 152: Berisha Nazmi             Sarpsborg              993   29
 153: Bern Ivar                 Bergens               2323 1150
 154: Bernhardsen Ivar          Nordstrand            1697  378
 155: Berntsen Einar            Strømmen              1400  623
 156: Berntsen Frode            Tromsø                1076   75
 157: Berntsen Per I.B.         Moss                  1503  211
 158: Berntsen Sheila B.        Bærum                 2008  646
 159: Berri Ivar                Stjørdal              1756  633
 160: Berstad Jørun             Førde                  832   11
 161: Berthelsen Rolf           Trondheim             1226   58
 162: Bie Bjørn                 Hamar                 1398  233
 163: Bie Hans Petter           Nordstrand            1568  354
 164: Birkeland Anfinn          Sandane               1180   63
 165: Birkeland Ole             Kristiansand           914  497
 166: Birkeland Trond           Fana                  1159  127
 167: Birkestrand Odd           Masfjorden            1592  287
 168: Birkestrand Odd H         Masfjorden            1336  192
 169: Birkic Vid                Sarpsborg             1334   15
 170: Bjelke Jørgen             Asker                 1962  575
 171: Bjerkan Guro              Kristiansund           664   22
 172: Bjerke Bendik             Strømmen              1633  313
 173: Bjerke Richard            OSS                   2207  856
 174: Bjerke Silje              Strømmen              1456  169
 175: Bjerve Einar              Remis                  982   30
 176: Bjordal Arne N            Sandnes-Ganddal       1072  236
 177: Bjornes Leif              Kristiansand          1753  638
 178: Bjune Hjørdis             Tønsberg               827   37
 179: Bjurstrøm Jan             Fauske                1496   55
 180: Bjørge Hans               Trondheim             1598  306
 181: Bjørgvik Jan Arne         Moss                  1682 1012
 182: Bjørklund Tor I           Stjernen              1354  151
 183: Bjørknes Espen            Stavanger             1761  209
 184: Bjørnland Svein           Fredriksstad          2007  515
 185: Bjørnstad Kristoffer      Trondheim             1062   15
 186: Bjørnstad Leif            Kirkenes              1537  687
 187: Bjørnø Ole Kr.            Eiker                 1931  642
 188: Bjørseth Rune             Stjørdal              1612  162
 189: Bjørstad Tore A.          Hamarøy                771   56
 190: Blekken Kjell Ove         Verdal                1582   82
 191: Bliksrud Yngve T          Nordstrand            1499   11
 192: Blom Geir                 Sotra                 1186   50
 193: Bogen Martin              Tønsberg              1565  789
 194: Boger Raymond             Randaberg             1764  615
 195: Boland Håvard             OSS                   1568  199
 196: Bolsø Gunnar              Aalesund              1547  371
 197: Borchrevink Harald        Fana                  1685  177
 198: Borøy Rune                Fauske                1782  326
 199: Botnen Trond Kjerulf      Akademisk             1753  481
 200: Braathen Sigurd           Sarpsborg             1206  100
 201: Brandt Knut               Eidsvoll              1214  722
 202: Brandth Thor-K.           Mosjøen               1644   66
 203: Brantzeg Pål              Stjernen              1180   86
 204: Bratfoss Rune             OSS                   1262   81
 205: Bratteberg Elisabeth      Ørsta                  507   18
 206: Bratteberg Per B          Ørsta                  935  121
 207: Bratteteig Tor-Inge       Masfjorden            1446  205
 208: Brattetveit Kenneth       Sotra                 1681  232
 209: Bredal Øystein            Sevland               1403  113
 210: Breistein Jan A           Nordnes               1711  260
 211: Breivik Bjørn             Fredriksstad           665   50
 212: Breivik Harald            Porsgrunn             1060   34
 213: Breivik Olav Nikolai      Porsgrunn              723   25
 214: Breivik Rolv              Porsgrunn             1340   92
 215: Breivik Tallak            Porsgrunn             1428  108
 216: Brekke John Ivar          Trondheim              999   20
 217: Brekke Tore               Bergens               2022  557
 218: Brekke Øystein            Eiker                 2012  528
 219: Brekstad Kolbjørn         Hamar                 1783   80
 220: Brenden Bjørn             Elverum               1278  286
 221: Brenden Odd Leo           Ås                    1281   69
 222: Brennvall Jon E           Ås                    1530  161
 223: Brix Jan                  Caissa                1540  331
 224: Brobakken Geir            Hamar                 1672  519
 225: Brobakken Ola             Hamar                 1316   42
 226: Brokke Dag                Nordstrand            1503  117
 227: Brokke Otto               Nordstrand            1383  115
 228: Bru Stein K.              Randaberg             1520   36
 229: Brunes Kjell              Bodø                  1243  189
 230: Bryhn Per                 Våler                 1386  112
 231: Bryn Thomas               Molde                 1462  129
 232: Brækkan Kolbjørn          Remis                 1757  355
 233: Brækkan Lars              Remis                  694   27
 234: Brækken Tor Øyvind        Akademisk             1136   33
 235: Brøndbo Ivar              Sarpsborg             1638  468
 236: Bråtveit Cleng            Stavanger              757   17
 237: Bue Gunnar                Tønsberg              1571 1191
 238: Buffon Thomas             Akademisk             1389  145
 239: Bukne Roald               OSS                   1688  144
 240: Bull Håkon                Tønsberg              1462   35
 241: Burkhalter Bjørn Ø        Eiker                 1709  240
 242: Bygstad Morten            Nordnes               1273   42
 243: Byklum Bjørnar            Kristiansand          1984  324
 244: Bækken Ole                Rena                  1389   69
 245: Bø Odd                    Randaberg             1768  243
 246: Bø Sofie                  Fana                   788   32
 247: Bø Solvor                 Hauge                  520   38
 248: Bø Sondre K               Fana                  1727  351
 249: Bøe Arne Hugo             Stjernen              1833  507
 250: Bøhler William A.         Steinkjer             1449  140
 251: Børresen Georg S.         Akademisk             2030  360
 252: Børstad Terje K.          OSS                   1018   61
 253: Bårdsen Bård              Trondheim             1630  600
 254: Bårdsen Erling            Sevland                827   55
 255: Bårdsen Terje A.          Stavanger             1397  238
 256: Bårtvedt Hans M.          Vandaskog              854   28
 257: Calmeyer Ola              Tønsberg               868  103
 258: Cappelen Odd              OSS                   1528  200
 259: Carlsen Christian         Drammen               1824  109
 260: Carlsen Kjell Arne        Harstad               1222  205
 261: Carstensen Øivind         Nordstrand            1455  487
 262: Chatour Firoz             Elverum               1047   60
 263: Chavannes Ivar            Trondheim             2046  270
 264: Christensen Jim           Mo                    1657  610
 265: Christensen Kjeld         Nordnes               1710  119
 266: Christenson Flemming      Nordstrand            2143  324
 267: Christenson Thor          Nordstrand            1458  896
 268: Christiansen Rolf         Asker                 1654  390
 269: Corneliussen Ketil        Harstad                968   15
 270: Czilling Ludvig           Moss                  1556  549
 271: Dahl Ingrid               Asker                 2044  815
 272: Dahl Lasse                Moss                  1253   19
 273: Dahl Rune                 Porsgrunn             1282   66
 274: Dahl Torbjørn             Orkdal                1409  194
