   Nr Navn                      Klubb                  Elo #par Fide Hurt Lyn
 134: Bentsen Øyvind            Molde                 1657  178
 135: Berg Anders H             Bærum                 1968  366
 136: Berg Gunnstein            Drammen               1465  289
 137: Berg Jarle                Namsos                 966   89
 138: Berg Johan                Namsos                2179  298
 139: Berg John A               Namsos                1556  177
 140: Berg Kurt Magnus          Harstad               1710  153
 141: Berg Svein                OSS                   2077  536
 142: Berg Tom                  Harstad               1028   51
 143: Berg-Jensen Harald        OSS                    843   51
 144: Berg-Jensen Joachim       Porsgrunn             1177   35
 145: Berg-Jensen Mats J.       Porsgrunn              549   12
 146: Berg-Jensen Terje H.      Porsgrunn             1067   17
 147: Bergan Odd                Larvik                1618  275
 148: Berger Jan                Tønsberg              1312  218
 149: Bergersen Bjørn           Gjøvik                1512  362
 150: Bergersen Kjetil J        Gjøvik                1885  290
 151: Berget Vidar              Akademisk             1307  146
 152: Berglund Jan S.           Tromsø                1959  858
 153: Bergquist Rune            Bodø                  1142  144
 154: Bergsrud Arve             Hadeland              1066  141
 155: Bergstad Odd Øivind       Akademisk             2073  400
 156: Berisha Nazmi             Sarpsborg             1034   23
 157: Bern Ivar                 Bergens               2331 1144
 158: Bernhardsen Ivar          Nordstrand            1697  378
 159: Berntsen Einar            Strømmen              1423  614
 160: Berntsen Frode            Tromsø                1024   67
 161: Berntsen Per I.B.         Moss                  1503  211
 162: Berntsen Sheila B.        Moss                  2064  638
 163: Berri Ivar                Stjørdal              1774  629
 164: Berthelsen Rolf           Trondheim             1237   52
 165: Bie Bjørn                 Hamar                 1400  210
 166: Bie Hans Petter           Nordstrand            1568  354
 167: Birkeland Anfinn          Sandane               1145   58
 168: Birkeland Ole             Søgne                  920  488
 169: Birkeland Trond           Fana                  1155  122
 170: Birkestrand Odd           Masfjorden            1592  287
 171: Birkestrand Odd H         Masfjorden            1335  183
 172: Bjelke Jørgen             Asker                 1969  566
 173: Bjerkan Guro              Kristiansund           670   17
 174: Bjerke Bendik             Strømmen              1571  298
 175: Bjerke Richard            OSS                   2207  856
 176: Bjerke Silje              Strømmen              1394  155
 177: Bjerkeset Per Olav        Molde                 1059   60
 178: Bjerve Einar              Remis                  982   30
 179: Bjordal Arne N            Sandnes-Ganddal       1065  230
 180: Bjornes Leif              Kristiansand          1753  638
 181: Bjune Hjørdis             Tønsberg               780   26
 182: Bjørge Hans               Trondheim             1636  297
 183: Bjørgum Endre             Orkdal                 877   43
 184: Bjørgvik Jan Arne         Moss                  1673 1003
 185: Bjørklund Tor I           Stjernen              1353  142
 186: Bjørknes Espen            Stavanger             1761  209
 187: Bjørnland Svein           Fredriksstad          1992  505
 188: Bjørnstad Leif            Kirkenes              1576  666
 189: Bjørnø Ole Kr.            Eiker                 1931  642
 190: Bjørseth Rune             Stjørdal              1587  158
 191: Bjørstad Tore A.          Hamarøy                771   56
 192: Blekken Kjell Ove         Verdal                1480   73
 193: Blom Geir                 Sotra                 1209   40
 194: Bogen Martin              Tønsberg              1602  775
 195: Boger Raymond             Randaberg             1757  606
 196: Boland Håvard             OSS                   1568  199
 197: Bolsø Gunnar              Aalesund              1572  364
 198: Borchrevink Harald        Fana                  1486  136
 199: Borøy Rune                Fauske                1793  319
 200: Bothner Tom               Sicilianerne          1880  251
 201: Botnen Trond Kjerulf      Akademisk             1753  481
 202: Bozinovski Tanja          Larvik                1586   89
 203: Braathen Sigurd           Sarpsborg             1206  100
 204: Brandt Knut               Eidsvoll              1229  701
 205: Brandth Thor-K.           Mosjøen               1644   66
 206: Brantzeg Pål              Stjernen              1232   59
 207: Bratfoss Rune             OSS                   1318   72
 208: Bratteberg Per B          Ørsta                  870  105
 209: Bratteteig Tor-Inge       Masfjorden            1446  205
 210: Brattetveit Kenneth       Sotra                 1685  225
 211: Braude Benny M            Akademisk             1550  302
 212: Breistein Jan A           Nordnes               1711  260
 213: Breivik Bjørn             Fredriksstad           665   50
 214: Breivik Harald            Porsgrunn             1118   21
 215: Breivik Olav Nikolai      Porsgrunn              815   14
 216: Breivik Rolv              Porsgrunn             1358   75
 217: Breivik Tallak            Porsgrunn             1278   79
 218: Brekke Tore               Bergens               2048  554
 219: Brekke Øystein            Eiker                 2012  528
 220: Brekstad Kolbjørn         Hamar                 1774   77
 221: Brenden Bjørn             Elverum               1279  255
 222: Brenden Odd Leo           Ås                    1281   69
 223: Brennvall Jon E           Ås                    1538  152
 224: Brix Jan                  Caissa                1522  326
 225: Brobakken Geir            Hamar                 1648  505
 226: Brobakken Ola             Hamar                 1292   33
 227: Brokke Dag                Nordstrand            1455  105
 228: Brokke Otto               Nordstrand            1371  104
 229: Bru Stein K.              Randaberg             1400   14
 230: Brunes Kjell              Bodø                  1275  180
 231: Bryhn Per                 Våler                 1386  112
 232: Bryn Thomas               Molde                 1293   96
 233: Brækkan Kolbjørn          Remis                 1670  321
 234: Brækkan Lars              Remis                  775   19
 235: Brækken Tor Øyvind        Akademisk             1178   27
 236: Brøndbo Ivar              Sarpsborg             1614  457
 237: Bråtveit Cleng            Stavanger              802   15
 238: Buan Johan Henrik         Trondheim             1050   25
 239: Bue Gunnar                Tønsberg              1571 1133
 240: Buffon Thomas             Akademisk             1378  136
 241: Bukne Roald               OSS                   1688  144
 242: Bull Håkon                Tønsberg              1462   35
 243: Burkhalter Bjørn Ø        Eiker                 1709  240
 244: Bygstad Morten            Nordnes               1254   36
 245: Byklum Bjørnar            Kristiansand          2008  318
