   Nr Navn                      Klubb                  Elo #par Fide Hurt Lyn
   1: Aamodt Freddy             Sarpsborg             1763  725
   2: Aamodt Kjell              Kongsvinger           1496   91
   3: Aaneby Terje              Lillestrøm            1399  316
   4: Aanestad Eivind           Randaberg             1173   96
   5: Aanestad Knut             Randaberg             1336  216
   6: Aanestad Knut M           Bergens               1373  213
   7: Aanestad Vegard           Randaberg             1531  116
   8: Aanstad Magnus            Narvik                1913  586
   9: Aarefjord Christian       Trondheim             1662   26
  10: Aaring Dag Reidar         Namsos                1410   51
  11: Aarland Stein A           Bergens               2192  548
  12: Aarnes Carl Christian     Gjøvik                1024   65
  13: Aarstad Olav              Trondheim             1284   28
  14: Aarstad Tron              Stjørdal              1617  274
  15: Aarthun Rune              Sandnes               1655  391
  16: Aarvik Sven Asle          Stavanger             1384  329
  17: Aarø Roger Rognan         Molde                 1445  204
  18: Aas Henrik                Stjernen              1632  165
  19: Aas Ole Johan             Alta                  1147   60
  20: Aasen Kjetil M            Førde                 1370   90
  21: Aasgaard Frode            Eidsvoll              1607  194
  22: Aasmundrud Daniel         Nittedal               763   16
  23: Aasum Anker               Halden                1602   39
  24: Abootorabi Reza           Stavanger             1736  312
  25: Abrahamsen Eivind         Stavanger              504   10
  26: Abrahamsen Ruben          Sarpsborg              792   18
  27: Abrahamsson Roaul         Nordstrand            1908  240
  28: Abusdal Ivar              Nordstrand            1269   76
  29: Agdestein Simen           NTG                   2582  947
  30: Agustsson Hafsteinn       Nordnes               1421   16
  31: Akre Jan Ottar            Asker                 1535  327
  32: Akre-Aas Halfdan          Røros                 1537  147
  33: Alainezhad Asad           Mo                    1257   34
  34: Albertsen Arne            Stjernen              1283   18
  35: Aleksandersen Richard     Sevland                877   26
  36: Ali Awais                 OSS                   1183   45
  37: Ali Sohaib Syed           OSS                   1085   20
  38: Alikhani Afshin           Sotra                 1254   47
  39: Aliti Qatip               Rilindja              1617   20
  40: Alm Tore                  Lillestrøm            1405  232
  41: Almoghrabi Kali           Fredriksstad           769   13
  42: Almquist Roar             Tønsberg              1129   17
  43: Alnes Jan H.              Sjakkameratene        1726   96
  44: Amin Jonas Wasa           Elverum               1003   18
  45: Amundsen Arild            Larvik                1362  188
  46: Amundsen Carl H.          Elverum               1549  277
  47: Amundsen Erik             Lillestrøm            1256  287
  48: Amundsen Odd              Larvik                1279  236
  49: Amundsen Rune             Haugesund             1071   71
  50: Anderl Christoph          Stjernen              1479   34
  51: Andersen Bjørn            Sarpsborg             1609  430
  52: Andersen Dag              Akademisk             1483  403
  53: Andersen Espen            Moss                  1465  263
  54: Andersen Gard             Hønefoss              1443  195
  55: Andersen Glenn            Nordnes               1146   26
  56: Andersen Harry            Sarpsborg             1697 1033
  57: Andersen Jørgen M.        Strømmen              1948  123
  58: Andersen Lars Even        Stjernen              2096  412
  59: Andersen Leif T           Caissa                1429  311
  60: Andersen Odd              Follo                 1703  821
  61: Andersen Oscar E          Caissa                1430  295
  62: Andersen Per O            SOSS                  1894  319
  63: Andersen Reidar           Sotra                 1211   73
  64: Andersen Rolf             Harstad               1276  196
  65: Andersen Rune             Strømmen              1252  105
  66: Andersen Simen            Sarpsborg              708  116
  67: Andersen Terje            Lørenskog             1677   76
  68: Andersen Viggo            Stjernen              1580  554
  69: Andersen Øystein R.       Stjernen              1844  449
  70: Andersen Øyvind Boye      Trondheim             2070  631
  71: Andersen Åsmund           Tromsø                1103   40
  72: Andreassen Hans           Trondheim             1132   18
  73: Andreassen Lars           Narvik                1930  262
  74: Andreassen Leif           Alta                  1283  280
  75: Andreassen Pål            SOSS                  1884  370
  76: Andresen Ragnar           Fredriksstad          1408  318
  77: Andresen Tarald           Hamar                 1829  217
  78: Angeltveit Andreas        Porsgrunn              769   35
  79: Angeltveit Vigleik        Porsgrunn             1753  348
  80: Antonsen Øivind           Aalesund              1847  314
  81: Arbabi Ravan              Haugesund              932   54
  82: Areklett Ivar             Hauge                 1855  398
  83: Arentz Roald              Trondheim             1610  511
  84: Arild Steinar             Alta                  1274  115
  85: Arnason Arne              Tønsberg               915   14
  86: Arnesen Henrik G          SK 1911               1106   65
  87: Arnesen Sveinung          Volda                 1577  224
  88: Arntsen Karl E            Caissa                1349  106
  89: Arntsen Raymond           Mosjøen               1056   65
  90: Arnø Steinar              Mosjøen               1541  288
  91: Asgautsen Jan Helge       Porsgrunn             1113   44
  92: Askevold Marius           Fana                  1217   82
  93: Astrup Kim Chr.           Akademisk             1951  116
  94: Aubert Carsten            Sjakkameratene        1764   84
  95: Aune Arnt O               Steinkjer             1090  143
  96: Aure Alf Terje            Molde                  826  208
  97: Aurlund Kjell             OSS                   2001   54
  98: Aursand Espen             Namsos                1228  113
  99: Baadshaug Knut            Orkdal                1628   14
 100: Baastad Rolf              Indre Østfold         1400  252
 101: Badivuku Xhevdet          Rilindja              1588   27
 102: Bae Torstein              SK 1911               2166  657
 103: Bakke Nils Kristian       Havhesten             1065   11
 104: Bakken Svein              Kongsvinger           1287   12
 105: Bakken Svein-Erik         Follo                 1346   94
 106: Bakken Øyvind             Porsgrunn             1605  328
 107: Barstad Thoralf N         Stjernen              1683  219
 108: Barton Zdenek             Lillestrøm            1632  152
 109: Barø Terje                Tønsberg              1377  144
 110: Bay Jens Erik             Lørenskog              973   27
 111: Beckstrøm Ingar           Nordnes               1119  100
 112: Begovic Mehmed            Aalesund              1739   26
 113: Bekk Arne                 Elverum               1459  217
 114: Bekkeli Leif              Drammen               2031  381
 115: Bekkelien Glenn Levi      Follo                 1632  119
 116: Bekker-Jensen Anders      NTG                   1636   14
 117: Bekker-Jensen Anne        NTG                   2120   19
 118: Bekkesletten Cato         Strømmen              1642  159
 119: Belsby Jan-Gunnar         Sarpsborg             1378  193
 120: Bentsen Håkon             Akademisk             1724  404
 121: Bentsen Øyvind            Molde                 1738  308
