   Nr Navn                      Klubb                  Elo #par Fide Hurt Lyn
   1: Aamodt Freddy             Sarpsborg             1732  740
   2: Aamodt Henrik             Haug                  1288   44
   3: Aamodt Kjell              Kongsvinger           1462   97
   4: Aandal Kristian           OSS                   1228   10
   5: Aaneby Terje              Lillestrøm            1391  336
   6: Aanes Gjert               Sotra                 1174   24
   7: Aanes Kjell               Harstad               1864  236
   8: Aanestad Eivind           Randaberg             1173   96
   9: Aanestad Knut             Randaberg             1336  216
  10: Aanestad Knut M           Bergens               1373  213
  11: Aanestad Vegard           Randaberg             1491  157
  12: Aanonsen Per Tore         OSS                   1701   13
  13: Aanstad Magnus            Narvik                1978  633
  14: Aarefjord Christian       Trondheim             1710   58
  15: Aaring Dag Reidar         Namsos                1410   51
  16: Aarland Stein A           Bergens               2233  562
  17: Aarnes Carl Christian     Gjøvik                1184  127
  18: Aarstad Olav              Trondheim             1273   43
  19: Aarstad Tron              Stjørdal              1645  314
  20: Aarthun Rune              Sandnes               1661  393
  21: Aas Henrik                Stjernen              1632  165
  22: Aasen Kjetil M            Førde                 1370   90
  23: Aasgaard Johan Magnus     Halden                1218   19
  24: Aasmundrud Daniel         Nittedal               763   16
  25: Aass Lasse                Evje                  1734  290
  26: Aasum Anker               Halden                1548   84
  27: Abrahamsen Ruben          Sarpsborg              815   42
  28: Abrahamsson Roaul         1911                  1948  264
  29: Abusdal Ivar              Nordstrand            1450  137
  30: Agdestein Emil Døving     Asker                  778   24
  31: Agdestein Espen           NTG                   2403  688
  32: Agdestein Pål             Asker                 1806   25
  33: Agdestein Reidar          OSS                   1805   47
  34: Agdestein Simen           NTG                   2573 1014
  35: Agustsson Hafsteinn       Nordnes               1489   48
  36: Akre Jan Ottar            Asker                 1483  357
  37: Akre-Aas Halfdan          Røros                 1593  163
  38: Akselsen Alf Michael      Sjakkameratene        1159   30
  39: Alainezhad Asad           Mo                    1259   39
  40: Albertsen Arne            Stjernen              1283   18
  41: Ali Sohaib Syed           OSS                   1182   38
  42: Ali Syed Awais            OSS                   1349   80
  43: Alikhani Afshin           Sotra                 1383   82
  44: Aliti Qatip               Rilindja              1628   32
  45: Alm Tore                  Lillestrøm            1417  239
  46: Almoghrabi Kali           Fredriksstad           769   13
  47: Almquist Roar             Tønsberg              1223   24
  48: Alne Magne Sture          Drammen               1016   47
  49: Alnes Jan H.              Sjakkameratene        1726   96
  50: Amin Jonas Wasa           Elverum               1042   25
  51: Amundsen Arild            Larvik                1362  188
  52: Amundsen Carl H.          Elverum               1520  289
