   Nr Navn                      Klubb                  Elo #par Fide Hurt Lyn
   1: Aamodt Freddy             Sarpsborg             1779  654
   2: Aamodt Sigmund            Trondheim             1598  138
   3: Aamodt Trond              Tønsberg              1543  190
   4: Aanesen Morten            Sicilianerne          1299   14
   5: Aanestad Eivind           Randaberg              840   32
   6: Aanestad Knut M           Randaberg             1395  187
   7: Aanstad Magnus            Bergens               1941  517
   8: Aaring Dag Reidar         Namsos                1342   15
   9: Aarstad Tron              Trondheim             1446  154
  10: Aarthun Rune              Sandnes-Ganddal       1767  336
  11: Aarø Roger Rognan         Molde                 1498  184
  12: Aas Henrik                Stjernen              1655  115
  13: Aase Idar                 Bergens               1844  183
  14: Aasen Kjetil M            Sandane               1372   80
  15: Aasgaard Frode            Eidsvoll              1634  171
  16: Aass Lasse                Evje                  1749  278
  17: Abootorabi Reza           Stavanger             1655  271
  18: Abrahamsen Ivan           Hadeland              1528   75
  19: Abrahamsen Jørn           Hamarøy                753   23
  20: Abrahamsson Roaul         Nordstrand            1869  207
  21: Adatepe Nadi              Nordstrand            1068   22
  22: Agasøster Reidar          Sandnes-Ganddal       1119   42
  23: Agdestein Espen           OSS                   2409  669
  24: Agdestein Simen           OSS                   2613  854
  25: Ahlqvist Hans R H         Stavanger             1092   54
  26: Ahmady Ali Reza           Akademisk             1264   33
  27: Akerjord Therese          Moss                  1079   85
  28: Akre Jan Ottar            Asker                 1507  268
  29: Akre-Aas Halfdan          Røros                 1603   70
  30: Albrigtsen Svein J        Direkte               1573  109
  31: Alfredsen John R.         Nordnes               1602  127
  32: Ali Karim                 Akademisk             1586  110
  33: Alnes Jan H.              Sjakkameratene        1725   60
  34: Alsaker Morten            Hauge                 1106   86
  35: Alvad May Kristin         Groruddalens           556   18
  36: Amundsen Arild            Larvik                1302  161
  37: Amundsen Carl H.          Elverum               1605  244
  38: Amundsen Erik             Lillestrøm            1331  244
  39: Amundsen Erland           Moss                  1379  102
  40: Amundsen Odd              Larvik                1364  197
  41: Anda Karl                 Stavanger             1607  278
  42: Andersen Alf Roger        Alta                  1915  229
  43: Andersen Anders           Sevland                660   13
  44: Andersen Bjørn            Sarpsborg             1616  378
  45: Andersen Dag              Akademisk             1598  345
  46: Andersen Espen            Moss                  1544  219
  47: Andersen Finn             Orkdal                1508  209
  48: Andersen Gard             Hønefoss              1488  146
  49: Andersen Harald           Kristiansand          1122   20
  50: Andersen Harry            Sarpsborg             1649  860
  51: Andersen Helge            Stavanger             1627  201
  52: Andersen Ingvald          Jarl                  1391   53
  53: Andersen Ivar             Kristiansand          1771   90
  54: Andersen Jørgen M.        Strømmen              1949  108
  55: Andersen Karl             Tempo                 1657   22
  56: Andersen Lars Even        Fana                  2016  343
  57: Andersen Leif T           Caissa                1454  237
  58: Andersen Magnus           Fredriksstad           540   38
  59: Andersen Martin           Akademisk             2046  293
  60: Andersen Odd              Ski                   1723  758
  61: Andersen Per O            SOSS                  1943  262
  62: Andersen Reidar           Sotra                 1235   30
  63: Andersen Rolf             Harstad               1287  120
  64: Andersen Rune             Strømmen              1222   69
  65: Andersen Rune T.          SOSS                  1634  205
  66: Andersen Simen            Sarpsborg              695   88
  67: Andersen Terje            Lørenskog             1749   24
  68: Andersen Viggo            Stjernen              1644  450
  69: Andersen Øystein R.       Stjernen              1848  425
  70: Andersen Øyvind Boye      Trondheim             2040  573
  71: Andreassen Alexander      Bodø                   985   13
  72: Andreassen Lars           Narvik                1783  216
  73: Andreassen Leif           Øksfjord              1257  248
  74: Andreassen Pål            SOSS                  1885  338
  75: Andresen Tarald           Hamar                 1931  142
  76: Angeltveit Vigleik        Porsgrunn             1554  146
  77: Antoniussen Trond         Nordnes               1452  109
  78: Antonsen Bendik           Kristiansand          1338   13
  79: Antonsen Roger            Indre Østfold          941   13
  80: Antonsen Rolf             Lillehammer           1453  158
  81: Antonsen Øivind           Aalesund              1882  238
  82: Arbabi Ravan              Haugesund              820   10
  83: Areklett Ivar             Hauge                 1663  205
  84: Arentz Roald              Trondheim             1686  384
  85: Arild Steinar             Alta                  1259   36
  86: Arnesen Sveinung          Volda                 1597  206
  87: Arntsen Frode             Kristiansand          1477  196
  88: Arntsen Raymond           Mosjøen               1006   52
  89: Askevold Marius           Åsane                  863   34
  90: Astrup Kim Chr.           OSS                   1888   82
  91: Aubert Carsten            Stjernen              1829   49
  92: Augensen Sveinung         Røros                 1056   19
  93: Aune Arnt O               Steinkjer             1101  133
  94: Aure Alf Terje            Molde                  750  108
  95: Aursand Espen             Namsos                1230   93
  96: Baastad Rolf              Indre Østfold         1433  227
  97: Backstrøm Ulf             Mandal                1314  112
  98: Bae Torstein              1911                  2037  357
  99: Bakervik Reidun           Fana                   925   88
 100: Bakervik Torbjørn         Fana                  1209  111
 101: Bakke Per Bjørn           Eidsvoll              1482  536
 102: Bakkegård Per Kristian    Fauske                1508  111
