   Nr Navn                      Klubb                  Elo #par Fide Hurt Lyn
   1: Abrahamsson Roaul         1911                  1972  312
   2: Abusdal Gunnar            Nordstrand            1168  111
   3: Abusdal Ivar              Nordstrand            1695  328
   4: Adam Lukas                Ørsta                 1370   14
   5: Adamsen Tore W.           Fredriksstad           941   66
   6: Agdestein Einar Døving    Asker                  916   72
   7: Agdestein Emil Døving     NTG                   1961  345
   8: Agdestein Espen           NTG                   2430  713
   9: Agdestein Pål             Asker                 1800   37
  10: Agdestein Simen           NTG                   2592 1113
  11: Agustsson Hafsteinn       Nordnes               1633  217
  12: Akre-Aas Halfdan          Røros                 1522  186
  13: Alainezhad Asad           Mo                    1234   59
  14: Aleksandersen Richard     Stavanger              976   26
  15: Ali Karim                 Fribonden             1718   36
  16: Ali Sohaib Syed           OSS                   1269   53
  17: Alikhani Afshin           Sotra                 1394  131
  18: Aliti Qatip               Rilindja              1602   49
  19: Alm Tore                  Lillestrøm            1389  246
  20: Alne Sture Magne          Drammen               1653  294
  21: Alnes Jan H.              Tromsø                1740  106
  22: Alsaker Knut Arne         Nordstrand            1814   15
  23: Alsos Ulv G.              Tromsø                 951   59
  24: Amundsen Carl H.          Elverum               1483  311
  25: Amundsen Odd Werner       Larvik                1159  304
  26: Amundsen Rune             Hauge                 1062   83
  27: Anderl Christoph          Stjernen              1562   67
  28: Andersen Alf Roger        Akademisk             2145  407
  29: Andersen Bjørn            Sarpsborg             1639  507
  30: Andersen Dag              Indre Østfold         1725  660
  31: Andersen Espen            Moss                  1445  293
  32: Andersen Geir             Alta                  1171   34
  33: Andersen Guttorm          Stjernen              1284   49
  34: Andersen Harald           Kristiansand          1015   75
  35: Andersen Harry            Fredriksstad          1731 1327
  36: Andersen Jonatan M        Moss                  1110  140
  37: Andersen Jørgen M.        Strømmen              1916  144
  38: Andersen Lars Even        Black Knights         2134  471
  39: Andersen Leif Sverre      Stjernen              1440  508
  40: Andersen Odd              Follo                 1609  880
  41: Andersen Per O            SOSS                  2009  370
  42: Andersen Pål              Hauge                  959   13
  43: Andersen Reidar           Sotra                 1220  124
  44: Andersen Richard          Moss                   952   36
  45: Andersen Rolf             Harstad               1276  277
  46: Andersen Rune T.          SOSS                  1699  248
  47: Andersen Viggo            Stjernen              1426  618
  48: Andersen Øystein R.       Black Knights         1866  474
  49: Andreasen Hans B.         (Tidl. Horg)          1058   65
  50: Andreassen Emil           Fredriksstad           833   22
  51: Andreassen Lars           Samisk                2065  329
  52: Andreassen Leif           Øksfjord              1204  311
  53: Andreassen Pål            SOSS                  2001  438
  54: Andreassen Tor Herman     Tønsberg              1632   69
  55: Andresen Ragnar           Fredriksstad          1308  351
  56: Angeltveit Andreas Rossin Porsgrunn             1136  204
  57: Antoniussen Viktor        (Tidl. Nordnes)        644   16
  58: Antonsen Helge            Moss                  1286   29
  59: Antonsen Øyvind           Aalesund              1808  384
  60: Archer Cedric             Tønsberg              1089   72
  61: Areklett Ivar             Hauge                 1998  647
  62: Arentz Roald              Trondheim             1656  630
  63: Arild Steinar             Alta                  1185  244
  64: Arnason Arne              (Tidl. Tønsberg)       868   74
  65: Arntsen Raymond           Mosjøen               1150   95
  66: Arntzen Odd Steinar       Brønnøysund           1348   37
  67: Arnø Steinar              Mosjøen               1552  293
  68: Asghar Akil               Follo                  788   19
  69: Asghar Faisal             Follo                  871   19
  70: Asklund Erlend            Frosta                 706   60
  71: Astrup Håkon              OSS                   1715  240
  72: Astrup Kim Chr.           OSS                   1978  142
  73: Aubert Carsten            Tønsberg              1848  203
  74: Aune Finn Roar            Strømmen              1695  267
  75: Aure Alf Terje            Molde                  799  320
  76: Aursand Espen             Namsos                1217  130
  77: Baadshaug Knut            (Tidl. Orkdal)        1697   58
  78: Badivuku Xhevdet          Rilindja              1655   71
  79: Bae Torstein              1911                  2277  968
  80: Bakke Jan Gunnar          Alta                  1183   83
  81: Bakken Svein Arne         (Tidl. Hamar)         1378   27
  82: Bakken Svein-Erik         Follo                 1366  207
