   Nr Navn                      Klubb                  Elo #par Fide Hurt Lyn
   1: Aamodt Freddy             Sarpsborg             1763  725
   2: Aamodt Kjell              Kongsvinger           1496   91
   3: Aaneby Terje              Lillestrøm            1421  309
   4: Aanestad Eivind           Randaberg             1173   96
   5: Aanestad Knut             Randaberg             1400  207
   6: Aanestad Knut M           Bergens               1373  213
   7: Aanestad Vegard           Randaberg             1536  105
   8: Aanstad Magnus            Narvik                1922  569
   9: Aaring Dag Reidar         Namsos                1402   46
  10: Aarland Stein A           Bergens               2192  548
  11: Aarnes Carl Christian     Gjøvik                1001   36
  12: Aarstad Olav              Trondheim             1306   18
  13: Aarstad Tron              Stjørdal              1616  264
  14: Aarthun Rune              Sandnes-Ganddal       1720  377
  15: Aarvik Sven Asle          Stavanger             1384  329
  16: Aarø Roger Rognan         Molde                 1445  204
  17: Aas Henrik                Stjernen              1632  165
  18: Aas Ole Johan             Alta                  1147   60
  19: Aase Idar                 Bergens               1780  214
  20: Aasen Kjetil M            Førde                 1370   90
  21: Aasgaard Frode            Eidsvoll              1607  194
  22: Aasum Anker               Sarpsborg             1602   39
  23: Abootorabi Reza           Stavanger             1736  312
  24: Abrahamsen Eivind         Stavanger              504   10
  25: Abrahamsen Ruben          Sarpsborg              792   18
  26: Abrahamsson Roaul         Nordstrand            1908  240
  27: Abusdal Ivar              Nordstrand            1275   67
  28: Agdestein Simen           OSS                   2561  934
  29: Agustsson Hafsteinn       Nordnes               1421   16
  30: Akre Jan Ottar            Asker                 1535  327
  31: Akre-Aas Halfdan          Røros                 1552  138
  32: Alainezhad Asad           Mo                    1297   29
  33: Albertsen Arne            Stjernen              1283   18
  34: Aleksandersen Richard     Sevland                877   26
  35: Ali Awais                 OSS                   1181   42
  36: Alikhani Afshin           Sotra                 1205   42
  37: Aliti Qatip               Rilindja              1617   20
  38: Alm Tore                  Lillestrøm            1405  232
  39: Almoghrabi Kali           Fredriksstad           769   13
  40: Almquist Roar             Tønsberg              1129   17
  41: Alnes Jan H.              Sjakkameratene        1726   96
  42: Amundsen Arild            Larvik                1329  183
  43: Amundsen Carl H.          Elverum               1549  277
  44: Amundsen Erik             Lillestrøm            1257  280
  45: Amundsen Odd              Larvik                1301  231
  46: Amundsen Rune             Haugesund              909   62
  47: Anderl Christoph          Stjernen              1479   34
  48: Andersen Bjørn            Sarpsborg             1609  430
  49: Andersen Dag              Akademisk             1508  389
  50: Andersen Espen            Moss                  1465  263
  51: Andersen Gard             Hønefoss              1443  195
  52: Andersen Glenn            Nordnes               1146   26
  53: Andersen Harry            Sarpsborg             1702 1024
  54: Andersen Jørgen M.        Strømmen              1948  123
  55: Andersen Lars Even        Stjernen              2095  403
  56: Andersen Leif T           Caissa                1431  296
  57: Andersen Odd              Follo                 1698  813
  58: Andersen Oscar E          Caissa                1411  289
  59: Andersen Per O            SOSS                  1894  319
  60: Andersen Reidar           Sotra                 1211   73
  61: Andersen Rolf             Harstad               1296  191
  62: Andersen Rune             Strømmen              1252  105
  63: Andersen Rune T.          SOSS                  1637  223
  64: Andersen Simen            Sarpsborg              708  116
  65: Andersen Terje            Lørenskog             1676   69
  66: Andersen Viggo            Stjernen              1640  545
  67: Andersen Øystein R.       Stjernen              1844  449
  68: Andersen Øyvind Boye      Trondheim             2070  631
  69: Andersen Åsmund           Tromsø                1103   40
  70: Andreassen Hans           Trondheim             1132   18
  71: Andreassen Lars           Narvik                1931  257
  72: Andreassen Pål            SOSS                  1884  370
  73: Andresen Ragnar           Fredriksstad          1408  318
  74: Andresen Tarald           Hamar                 1840  208
  75: Angeltveit Andreas        Porsgrunn              804   26
  76: Angeltveit Vigleik        Porsgrunn             1609  329
  77: Antonsen Øivind           Aalesund              1847  311
  78: Arbabi Ravan              Haugesund              932   54
  79: Areklett Ivar             Hauge                 1830  384
  80: Arentz Roald              Trondheim             1676  487
  81: Arild Steinar             Alta                  1292  111
  82: Arnason Arne              Tønsberg               915   14
  83: Arnesen G Henrik          SK 1911                818   33
  84: Arnesen Sveinung          Volda                 1577  224
  85: Arnø Steinar              Mosjøen               1556  283
  86: Asgautsen Jan Helge       Porsgrunn             1113   44
  87: Askevold Marius           Fana                  1217   82
  88: Astrup Kim Chr.           Akademisk             1951  116
  89: Aubert Carsten            Sjakkameratene        1764   84
  90: Aune Arnt O               Steinkjer             1090  143
  91: Aure Alf Terje            Molde                  833  195
  92: Aurlund Kjell             OSS                   1956   36
  93: Aursand Espen             Namsos                1228  113
  94: Baastad Rolf              Indre Østfold         1400  252
  95: Badivuku Xhevdet          Rilindja              1588   27
  96: Bae Torstein              SK 1911               2157  652
  97: Bakkelund Hans Arne       Harstad               1188   51
  98: Bakken Svein              Kongsvinger           1287   12
  99: Bakken Svein-Erik         Follo                 1337   84
 100: Bakken Øyvind             Porsgrunn             1605  328
 101: Barda Yngvar              OSS                   1858   14
 102: Barstad Thoralf N         Stjernen              1643  210
 103: Barton Zdenek             Lillestrøm            1629  136
 104: Barø Terje                Tønsberg              1377  144
 105: Bay Jens Erik             Lørenskog              973   27
 106: Beckstrøm Ingar           Nordnes               1119  100
 107: Bekk Arne                 Elverum               1451  210
 108: Bekkeli Leif              Drammen               2031  381
 109: Bekkelien Glenn Levi      Follo                 1632  119
 110: Bekkesletten Cato         Strømmen              1642  159
 111: Belsby Jan-Gunnar         Sarpsborg             1378  193
 112: Bentsen Håkon             Akademisk             1731  369
 113: Bentsen Øyvind            Molde                 1718  297
 114: Berg Gaute                Orkdal                1142   24
 115: Berg Gunstein             Drammen               1437  316
 116: Berg Johan                Tempo                 2180  339
 117: Berg Kurt Magnus          Harstad               1776  230
 118: Berg Maria                Porsgrunn             1088   22
 119: Berg Tom                  Harstad               1216  149
 120: Berg-Jensen Joachim       Porsgrunn             1822  220
 121: Berg-Jensen Mats J.       Porsgrunn              548   33
