   Nr Navn                      Klubb                  Elo #par Fide Hurt Lyn
   1: Abrahamsson Roaul         1911                  1953  334
   2: Abusdal Gunnar            Nordstrand            1240  145
   3: Abusdal Ivar              (Tidl. Nordstrand)    1794  361
   4: Adam Gyula                Drammen               1461   66
   5: Adam Lukas                (Tidl. Ørsta)         1370   14
   6: Adamsen Tore W.           Fredriksstad           966   90
   7: Agdestein Einar Døving    Asker                 1070  100
   8: Agdestein Emil Døving     Lillehammer           2051  441
   9: Agdestein Espen           OSS                   2407  730
  10: Agdestein Peter           NTG                    785   34
  11: Agdestein Pål             Asker                 1843   61
  12: Agdestein Simen           NTG                   2630 1159
  13: Agustsson Hafsteinn       Nordnes               1692  262
  14: Akre-Aas Halfdan          Røros                 1522  186
  15: Alainezhad Asad           (Tidl. Mo)            1234   59
  16: Aleksandersen Richard     Stavanger             1077   58
  17: Ali Karim                 Fribonden             1618   78
  18: Ali Sohaib Syed           (Tidl. OSS)           1252   57
  19: Alikhani Afshin           Sotra                 1457  153
  20: Aliti Qatip               (Tidl. Rilindja)      1596   53
  21: Alne Sture Magne          Drammen               1654  320
  22: Alnes Jan H.              (Tidl. Tromsø)        1708  110
  23: Alsos Ulv G.              Tromsø                1097  111
  24: Amundsen Carl H.          (Tidl. Elverum)       1481  312
  25: Amundsen Odd Werner       (Tidl. Larvik)        1159  304
  26: Anderl Christoph          Stjernen              1579   73
  27: Andersen Alf Roger        Follo                 2114  467
  28: Andersen Bjørn            Sarpsborg             1653  519
  29: Andersen Dag              Indre Østfold         1729  731
  30: Andersen Espen            Moss                  1458  300
  31: Andersen Frode            Stjernen              1448   14
  32: Andersen Guttorm          Stjernen              1346  150
  33: Andersen Harald           (Tidl. Kristiansand)  1015   75
  34: Andersen Harry            Fredriksstad          1772 1407
  35: Andersen Jonatan M        Moss                  1353  190
  36: Andersen Jørgen M.        Strømmen              1906  162
  37: Andersen Lars Even        Black Knights         2202  512
  38: Andersen Per O            SOSS                  2016  375
  39: Andersen Pål              Sevland               1100   33
  40: Andersen Reidar           Sotra                 1203  141
  41: Andersen Richard          Moss                  1020   54
  42: Andersen Rolf             Harstad               1275  282
  43: Andersen Rune T.          SOSS                  1705  250
  44: Andersen Steffen          Arendal                989   10
  45: Andersen Vegard           Stjernen              1330   42
  46: Andersen Viggo            Stjernen              1425  627
